game_id,year,game_site,opp_rank,opp,opp_conf,result,pts_scored,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,tot_plays,tot_yds,avg_play,1st_downs,tot_fum,tot_int,tot_turn
1.01,2019,home,NULL,Houston,American,W,49,20,24,83.3,332,3,37,354,9.6,4,61,686,11.2,30,2,0,2
1.02,2019,home,NULL,South Dakota,FCS,W,70,24,30,80,423,6,39,310,7.9,3,69,733,10.6,28,0,0,0
1.03,2019,away,NULL,UCLA,Pac 12,W,48,16,23,69.6,302,3,41,309,7.5,3,64,611,9.5,26,0,0,0
1.04,2019,home,NULL,Texas Tech,Big 12,W,55,23,34,67.6,443,3,29,203,7,4,63,646,10.3,24,0,1,1
1.05,2019,away,NULL,Kansas,Big 12,W,45,20,29,69,277,2,37,268,7.2,4,66,545,8.3,29,0,1,1
1.06,2019,neutral,11,Texas,Big 12,W,34,16,28,57.1,235,3,38,276,7.3,1,66,511,7.7,21,1,1,2
1.07,2019,home,NULL,West Virginia,Big 12,W,52,18,21,85.7,363,3,38,197,5.2,3,59,560,9.5,25,0,0,0
1.08,2019,away,NULL,Kansas State,Big 12,L,41,19,27,70.4,395,1,26,102,3.9,3,53,497,9.4,18,1,1,2
1.09,2019,home,NULL,Iowa State,Big 12,W,42,18,26,69.2,273,3,41,226,5.5,3,67,499,7.4,24,1,1,2
1.1,2019,away,12,Baylor,Big 12,W,34,30,43,69.8,297,4,52,228,4.4,0,95,525,5.5,34,2,1,3
1.11,2019,home,NULL,Texas Christian,Big 12,W,28,11,21,52.4,145,2,64,366,5.7,2,85,511,6,30,2,1,3
1.12,2019,away,21,Oklahoma State,Big 12,W,34,14,17,82.4,167,2,44,283,6.4,2,61,450,7.4,22,0,0,0
1.13,2019,neutral,8,Baylor,Big 12,W,30,17,24,70.8,287,1,50,146,2.9,2,74,433,5.9,21,1,1,2
1.14,2019,neutral,1,Louisiana State,SEC,L,28,16,34,47.1,225,0,28,97,3.5,4,62,322,5.2,16,0,1,1
2.01,2018,home,NULL,Florida Atlantic,CUSA,W,63,19,23,82.6,334,3,39,316,8.1,5,62,650,10.5,26,0,0,0
2.02,2018,home,NULL,UCLA,Pac 12,W,49,19,35,54.3,306,3,35,179,5.1,4,70,485,6.9,27,0,1,1
2.03,2018,away,NULL,Iowa State,Big 12,W,37,21,29,72.4,348,3,39,171,4.4,1,68,519,7.6,24,1,0,1
2.04,2018,home,NULL,Army,Independent,W,28,11,15,73.3,165,3,25,190,7.6,1,40,355,8.9,19,0,1,1
2.05,2018,home,NULL,Baylor,Big 12,W,66,17,23,73.9,432,6,31,175,5.6,3,54,607,11.2,22,0,0,0
2.06,2018,neutral,19,Texas,Big 12,L,45,20,27,74.1,310,4,31,222,7.2,2,58,532,9.2,21,2,1,3
2.07,2018,away,NULL,Texas Christian,Big 12,W,52,19,25,76,213,4,47,323,6.9,3,72,536,7.4,26,0,0,0
2.08,2018,home,NULL,Kansas State,Big 12,W,51,22,29,75.9,380,3,39,322,8.3,3,68,702,10.3,32,0,0,0
2.09,2018,away,NULL,Texas Tech,Big 12,W,51,20,35,57.1,360,3,44,323,7.3,4,79,683,8.6,32,0,2,2
2.1,2018,home,NULL,Oklahoma State,Big 12,W,48,21,30,70,349,1,47,353,7.5,5,77,702,9.1,29,0,0,0
2.11,2018,home,NULL,Kansas,Big 12,W,55,21,32,65.6,272,2,38,296,7.8,5,70,568,8.1,31,1,1,2
2.12,2018,away,12,West Virginia,Big 12,W,59,20,27,74.1,364,3,35,308,8.8,2,62,672,10.8,25,1,1,2
2.13,2018,neutral,9,Texas,Big 12,W,39,25,34,73.5,379,3,40,129,3.2,1,74,508,6.9,29,1,0,1
2.14,2018,neutral,1,Alabama,SEC,L,34,19,37,51.4,308,2,32,163,5.1,2,69,471,6.8,26,0,0,0
3.01,2017,home,NULL,Texas El Paso,CUSA,W,56,32,36,88.9,496,4,38,180,4.7,4,74,676,9.1,35,0,0,0
3.02,2017,away,2,Ohio State,Big 10,W,31,27,35,77.1,386,3,37,104,2.8,1,72,490,6.8,27,2,0,2
3.03,2017,home,NULL,Tulane,American,W,56,20,30,66.7,434,5,32,197,6.2,2,62,631,10.2,24,2,0,2
