player_id,name,pos
1,Jalen Hurts,QB
2,Spencer Rattler,QB
3,Tanner Mordecai,QB
4,Marcus Major,RB
5,Rhamondre Stevenson,RB
6,Trey Sermon,RB
7,Kennedy Brooks,RB
8,T.J. Pledger,RB
9,Drake Stoops,WR
10,Trejan Bridges,WR
11,Theo Wease,WR
12,CeeDee Lamb,WR
13,A.D. Miller,WR
14,Charleston Rambo,WR
15,Mykel Jones,WR
16,Nick Basquine,WR
17,Jadon Haselwood,WR
18,Lee Morris,WR
19,Austin Stogner,TE
20,Grant Calcaterra,TE
21,Kyler Murray,QB
22,Austin Kendall,QB
23,Marcelias Sutton,RB
24,Rodney Anderson,RB
25,Marquise Brown,WR
26,Myles Tease,WR
27,Jaylon Robinson,WR
28,Reggie Turner,WR
29,Brayden Willis,TE
30,Tanner Schafer,QB
31,Baker Mayfield,QB
32,Abdul Adams,RB
33,Najee Bissoon,RB
34,Jeffery Mead,WR
35,Jeff Badet,WR
36,Chase Nevel,WR
37,Jordan Smallwood,WR
38,Sam Iheke,WR
39,Mark Andrews,TE
40,Joe Mixon,RB
41,Samaje Perine,RB
42,Devin Montgomery,RB
43,Daniel Brooks,RB
44,Dede Westbrook,WR
45,Jarvis Baxter,WR
46,Geno Lewis,WR
47,Mark Andrews,WR
48,Dahu Green,WR
49,Austin Seibert,K
50,Calum Sutherland,K
51,Gabe Brkic,K
52,Trevor Knight,QB
53,Cody Thomas,QB
54,Alex Ross,RB
55,Michiah Quick,WR
56,Sterling Shepard,WR
57,Durron Neal,WR
58,Grant Bothun,WR
59,Dallis Todd,WR
60,Connor Knight,TE
61,Nick Hodgson,K
62,Michael Hunnicutt,K
63,Keith Ford,RB
64,David Smith,RB
65,K.J. Young,WR
66,Austin Bennett,WR
67,Blake Bell,QB
68,Kendal Thompson,QB
69,Brennan Clay,RB
70,Damien Williams,RB
71,Roy Finch,RB
72,Lacoltan Bester,WR
73,Jalen Saunders,WR
74,Jaz Reynolds,WR
75,Trey Metoyer,WR
76,Derrick Woods,WR
77,Brannon Green,TE
78,Taylor McNamara,TE
79,Tress Way,K
80,Landry Jones,QB
81,Dominique Whaley,RB
82,Trey Millard,RB
83,Marshall Musil,RB
84,Kenny Stills,WR
85,Justin Brown,WR
86,Jimmy Stevens,K
87,Patrick O'Hara,K
88,Drew Allen,QB
89,Brandon Williams,RB
90,Jonathan Miller,RB
91,Trey Franks,WR
92,Ryan Broyles,WR
93,Dejuan Miller,WR
94,Kameel Jackson,WR
95,James Hanna,TE
96,Trent Ratterree,TE
97,Austin Haywood,TE
98,John Nimmo,QB
99,Demarco Murray,RB
100,Mossis Madu,RB
101,Jermie Calhoun,RB
102,Cameron Kenney,WR
103,Brandon Caleb,WR
104,Jeremiah Hall,FB
105,Ian Mclever,OL
106,Patrick Fields,S
107,Parnell Motley,CB
108,Carson Meier,FB
109,Dimitri Flowers,FB
110,Jaxon Uhles,FB
111,Joe Castiglione Jr.,FB
112,Dominique Alexander,LB
113,Sam Grant,OL
114,Aaron Ripkowski,FB
