game_id,player_id,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,scrm_plays,scrm_yds,scrm_td,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,pass_int,pass_eff
1.01,1,16,176,3,NULL,NULL,NULL,16,176,3,20,23,87,332,3,0,251.3
1.01,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0,0,0,0,0
1.01,5,6,41,1,NULL,NULL,NULL,6,41,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.01,6,11,91,0,2,25,0,13,116,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.01,7,4,46,0,NULL,NULL,NULL,4,46,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.01,12,NULL,NULL,NULL,2,46,1,2,46,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.01,13,NULL,NULL,NULL,1,15,0,1,15,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.01,14,NULL,NULL,NULL,3,105,1,3,105,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.01,15,NULL,NULL,NULL,1,5,0,1,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.01,16,NULL,NULL,NULL,3,31,0,3,31,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.01,17,NULL,NULL,NULL,2,46,0,2,46,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.01,20,NULL,NULL,NULL,2,20,0,2,20,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.01,29,NULL,NULL,NULL,1,14,0,1,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.01,104,NULL,NULL,NULL,3,25,1,3,25,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.02,1,8,47,0,NULL,NULL,NULL,8,47,0,14,18,78,259,3,0,253.6
1.02,2,2,15,0,NULL,NULL,NULL,2,15,0,4,4,100,50,1,0,287.5
1.02,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,8,75,114,2,0,277.2
1.02,4,5,12,0,NULL,NULL,NULL,5,12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.02,5,6,104,1,1,2,0,7,106,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.02,6,9,56,1,NULL,NULL,NULL,9,56,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.02,7,6,69,1,NULL,NULL,NULL,6,69,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.02,9,NULL,NULL,NULL,1,17,0,1,17,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.02,10,NULL,NULL,NULL,3,43,1,3,43,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.02,11,NULL,NULL,NULL,2,34,1,2,34,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.02,12,NULL,NULL,NULL,6,144,1,6,144,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.02,13,NULL,NULL,NULL,1,40,0,1,40,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.02,14,1,18,0,3,30,1,4,48,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.02,16,NULL,NULL,NULL,1,12,0,1,12,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1.02,17,NULL,NULL,NULL,3,78,1,3,78,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
